indentdate,indentno,orderDate,ordernumber,lineitem,item_name,SKU,MSKU,qty,sale,purchase_price,total_purchase_cost,belmont_Stock,richmond_Stock,branch,country
2025-01-02,250102,2024-12-30,25515,1,Fresh Indian Gooseberry - 500g,FFVALL3248,FFVALL3248,1,37,₹150.00,₹150.00,0,-3,17,Not Available
2025-01-02,250102,2024-12-30,25529,1,Fresh Indian Amla|Gooseberry 450g,1139525,FFVALL3248,1,35,₹150.00,₹150.00,0,-3,17,Not Available
2025-01-02,250102,2024-12-29,25490,1,Vellanki Foods Chekkalu - 250g,1134697,1134697,4,37,₹135.00,₹540.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25496,1,Mountainor Advanced Shilajit Power Booster Veg Capsule - 90 capsules,1018983,1018983,1,28,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25525,1,New Life Bach Flower Aspen - 30ml,1028045,1028045,1,6,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25525,1,New Life Bach Flower Cherry Plum - 30ml,1028053,1028053,1,6,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25525,1,New Life Bach Flower Mustard - 30ml,1028082,1028082,1,6,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-29,25488,1,Daflon Tablet - 500 Mg / 60 tablets,1126110,1031476,6,35,₹133.00,₹797.00,85,8,17,Not Available
2025-01-02,250102,2024-12-30,25524,1,SBL Thlaspi Bursa Pastoris Mother Tincture Q - 30ml,42107,42107,1,12,₹132.00,₹132.00,16,5,17,Not Available
2025-01-02,250102,2024-12-30,25518,1,Bakson’s Laxat Aid Tablets - 75 Tablets,1036778,1036778,1,10,₹130.00,₹130.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25518,1,Kayam Tablet 30 tablets,22990,22990,2,13,₹115.00,₹230.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25526,1,Vicco Vajradanti Tooth Powder 100g,1014455,1014455,2,17,₹110.00,₹220.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25499,1,Hamdard Khamira Marwareed - 75g,Hamdard4524,Hamdard4524,9,67,₹95.00,₹851.00,4,0,17,Not Available
2025-01-02,250102,2024-12-30,25504,1,Bakson’s Nasal Aid Spray 10ml,bakson12,bakson12,5,36,₹88.00,₹441.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25500,1,Long Drive 30mg Tablet,1140451,1140451,4,35,₹85.00,₹340.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25493,1,SBL Hydrangea Arborescens Dilution 6 CH,44889,44889,2,29,₹60.00,₹120.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25520,1,SBL Ammonium Causticum Dilution 30 CH,43075,43075,1,10,₹60.00,₹60.00,9,6,17,Not Available
