invoiceidno,itemdescription,quantity,rate,msku,
7469,Robinia Pseudacacia 6 CH,1,219.49,42670,
7470,Chenopodium Anthelminticum 6 CH,1,219.49,42882,
7471,Allium Sativum,1,227.97,42074,
7472,Fucus Vesiculosus,1,261.86,42046,
7473,Thuja Occ Dilution 30 CH (11ml),1,232.2,38665,
7474,Allen Hernia Drop - 30ml,1,253.39,1024189,
7475,SBL Physostigma Venenosum Mother Tincture Q,1,427.12,42341,
7476,SBL Terebinthinae Oleum Mother Tincture Q - 30ml,1,325.42,42159,
7477,Pure Silver Jandyam Janau 7Grams,1,1303.39,900459,
7478,Pure Silver Banana Pair Trees 54.5g each,2,8361.44,900149,
7479,SBL Iodium Dilution 30 CH,1,219.49,42816,
7480,Hydrocotyle Asiatica,1,227.97,42087,
7481,Dr Willmar Schwabe India Senega Mother Tincture Q,1,304.24,WILLSCH3256,
7482,Chamomilla 200 C,1,236.44,43274,
7483,Elaps Corallinus Dilution 200 CH,1,388.98,46451,
7484,Pure Silver Gold Coated Stand For Idols 6.70g,1,1256.78,900847,
7485,Natrum Carbonicum 200,1,236.44,43296,
7486,Lemna Minor 30CH,1,219.49,42711,
7487,SBL Lapis Albus Dilution 12 CH (30 ml),1,194.07,47062,
7488,Dr. Reckeweg Chelidonium Majus Mother Tincture Q,1,338.14,38504,
7489,SBL Arnica Montana Dilution 30 CH,1,219.49,42602,
7490,Croton Tiglium,1,227.96,42330,
7491,Allium Sativum,1,186.01,42074,
7491,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,198.73,42098,
7492,Natrum Muriaticum Dilution 30 CH (11ml),1,232.2,38659,
7493,Gelsemium Sempervirens 30CH,1,219.49,42661,
7494,Pure Silver Durga Mata 18.95g By Mahita Collections,1,4919.49,1139816,
7495,Allium Sativum,1,227.96,42074,
7496,Prakruthi Pure Silver Annapurna Devi Idol 26g,1,4143.22,900078,
7497,Allium Sativum,2,186.01,42074,
